Kanji,Reading,Indonesian
会う,あう,Bertemu
青,あお,Biru
青い,あおい,Biru
赤,あか,Merah
赤い,あかい,Merah
明い,あかるい,Terang
秋,あき,Musim Gugur
開く,あく,Membuka
開ける,あける,Membuka
上げる,あげる,Meningkatkan
朝,あさ,Pagi
朝御飯,あさごはん,Sarapan
あさって,あさって,Besok
足,あし,Kaki
明日,あした,Besok
あそこ,あそこ,Di sana
遊ぶ,あそぶ,Bermain
暖かい,あたたかい,Hangat
頭,あたま,Kepala
新しい,あたらしい,Baru
あちら,あちら,di sana
暑い,あつい,Panas
熱い,あつい,Panas
厚い,あつい,Tebal
あっち,あっち,Sana
後,あと,Setelah
あなた,あなた,Anda
兄,あに,Kakak
姉,あね,Kakak
あの,あの,Itu
あの,あの,Itu
アパート,アパート,Apartemen
あびる,あびる,Abiru
危ない,あぶない,Bahaya
甘い,あまい,Manis
あまり,あまり,Sedikit
雨,あめ,Hujan
飴,あめ,Permen
洗う,あらう,Mencuci
ある,ある,Ada
歩く,あるく,Berjalan
あれ,あれ,Itu
いい,いい,Baik
いい,よい,Baik
よい,いい,Baik
よい,よい,Baik
いいえ,いいえ,Tidak
言う,いう,Mengatakan
家,いえ,Rumah
いかが,いかが,Bagaimana?
行く,いく,Pergi
いくつ,いくつ,Berapa banyak
いくら,いくら,Seberapa banyak
池,いけ,Kolam
医者,いしゃ,Dokter
いす,いす,kursi
忙しい,いそがしい,Sibuk
痛い,いたい,Sakit
一,いち,Satu
一日,いちにち,Satu hari
いちばん,いちばん,Yang terbaik
いつ,いつ,Kapan
五日,いつか,Lima hari
一緒,いっしょ,Bersama
五つ,いつつ,Lima
いつも,いつも,Selalu
犬,いぬ,Anjing
今,いま,Sekarang
意味,いみ,Makna
妹,いもうと,Kakak perempuan
嫌,いや,Tidak suka
入口,いりぐち,Pintu masuk
居る,いる,Ada
要る,いる,Perlu
入れる,いれる,Memasukkan
色,いろ,Warna
いろいろ,いろいろ,Berbagai macam
上,うえ,Atas
後ろ,うしろ,Belakang
薄い,うすい,Tipis
歌,うた,Nyanyian
歌う,うたう,Bernyanyi
生まれる,うまれる,Lahir
海,うみ,Laut
売る,うる,Menjual
煩い,うるさい,Mengganggu
上着,うわぎ,Baju
絵,え,Gambar
映画,えいが,Film
映画館,えいがかん,Bioskop
英語,えいご,Bahasa Inggris
ええ,ええ,Baik
駅,えき,Stasiun
エレベーター,エレベーター,Lift
鉛筆,えんぴつ,Pensil
おいしい,おいしい,Enak
多い,おおい,Banyak
大きい,おおきい,Besar
大きな,おおきな,Besar
大勢,おおぜい,Banyak
お母さん,おかあさん,Ibu
お菓子,おかし,Makanan manis
お金,おかね,Uang
起きる,おきる,Bangun
置く,おく,Meletakkan
奥さん,おくさん,Ibu
お酒,おさけ,Minuman keras
お皿,おさら,Piring
伯父,おじいさん,Paman
叔父,おじいさん,Paman
教える,おしえる,Mengajar
伯父,おじさん,Paman
叔父,おじさん,Paman
押す,おす,Menekan
遅い,おそい,Lambat
お茶,おちゃ,Teh
お手洗い,おてあらい,Toilet
お父さん,おとうさん,Ayah
弟,おとうと,Kakak laki-laki
男,おとこ,Pria
男の子,おとこのこ,Anak laki-laki
一昨日,おととい,Kemarin
一昨年,おととし,Tahun lalu
大人,おとな,Dewasa
おなか,おなか,Perut
同じ,おなじ,Sama
お兄さん,おにいさん,Kakak
お姉さん,おねえさん,Kakak
おばあさん,おばあさん,Nenek
伯母さん,おばさん,Nenek
叔母さん,おばさん,Tante
お風呂,おふろ,Mandi
お弁当,おべんとう,Kotak makan siang
覚える,おぼえる,Mengingat
おまわりさん,おまわりさん,Polisi
重い,おもい,Berat
おもしろい,おもしろい,Lucu
泳ぐ,およぐ,Berenang
降りる,おりる,Turun
終る,おわる,Berakhir
音楽,おんがく,Musik
女,おんな,Wanita
女の子,おんなのこ,Anak perempuan
外国,がいこく,Asing
外国人,がいこくじん,Orang asing
会社,かいしゃ,Perusahaan
階段,かいだん,Tangga
買い物,かいもの,Belanja
買う,かう,Membeli
返す,かえす,Mengembalikan
帰る,かえる,Kembali
かかる,かかる,Membebankan
かぎ,かぎ,Kunci
書く,かく,Menulis
学生,がくせい,Siswa
かける,かける,Memakai
傘,かさ,Payung
貸す,かす,Menyewakan
風,かぜ,Angin
風邪,かぜ,Pilek
家族,かぞく,Keluarga
方,かた,Cara
学校,がっこう,Sekolah
カップ,カップ,Gelas
家庭,かてい,Keluarga
角,かど,Sudut
かばん,かばん,Tas
花瓶,かびん,Vas
紙,かみ,Kertas
カメラ,カメラ,Kamera
火曜日,かようび,Selasa
辛い,からい,Pedas
体,からだ,Tubuh
借りる,かりる,Meminjam
軽い,かるい,Ringan
カレー,カレー,Kari
カレンダー,カレンダー,Kalender
川,かわ,Sungai
河,かわ,Sungai
かわいい,かわいい,Lucu
漢字,かんじ,Hanzi
木,き,Kayu
黄色,きいろ,Kuning
黄色い,きいろい,Kuning
消える,きえる,Hilang
聞く,きく,Mendengar
北,きた,Utara
ギター,ギター,Gitar
汚い,きたない,Kotor
喫茶店,きっさてん,Kafe
切手,きって,Stempel
切符,きっぷ,Tiket
昨日,きのう,Kemarin
九,きゅう,Sembilan
九,く,Sembilan
牛肉,ぎゅうにく,Daging sapi
牛乳,ぎゅうにゅう,Susu
今日,きょう,Hari ini
教室,きょうしつ,Kelas
兄弟,きょうだい,Saudara
去年,きょねん,Tahun lalu
嫌い,きらい,Tidak suka
切る,きる,Memotong
着る,きる,Mengenakan
きれい,きれい,Cantik
キロ,キロ,Kilometer
キロ,キログラム,Kilometer
キログラム,キロ,Kilogram
キログラム,キログラム,Kilogram
キロ,キロ,Kilometer
キロ,キロメートル,Kilometer
キロメートル,キロ,Kilometer
キロメートル,キロメートル,Kilometer
銀行,ぎんこう,Bank
金曜日,きんようび,Jumat
薬,くすり,Obat
ください,ください,Berikan
果物,くだもの,Buah
口,くち,Mulut
靴,くつ,Sepatu
靴下,くつした,Kaos kaki
国,くに,Negara
曇り,くもり,Berawan
曇る,くもる,Berkabut
暗い,くらい,Gelap
クラス,クラス,Kelas
グラム,グラム,Gram
来る,くる,Datang
車,くるま,Mobil
黒,くろ,Hitam
黒い,くろい,Hitam
警官,けいかん,Polisi
今朝,けさ,Pagi ini
消す,けす,Menghapus
結構,けっこう,Lumayan
結婚,けっこん,Menikah
月曜日,げつようび,Senin
玄関,げんかん,Pintu masuk
元気,げんき,Sehat
五,ご,Lima
公園,こうえん,Taman
交差点,こうさてん,Persimpangan
紅茶,こうちゃ,Teh hitam
交番,こうばん,Kantor Operasional
声,こえ,Suara
コート,コート,Lapangan
コーヒー,コーヒー,Kopi
ここ,ここ,Di sini
午後,ごご,Sore
九日,ここのか,9
九つ,ここのつ,Sembilan
午前,ごぜん,Pagi
答える,こたえる,Menjawab
こちら,こちら,Di sini
こっち,こっち,Di sini
コップ,コップ,Gelas
今年,ことし,Tahun ini
言葉,ことば,Kata
子供,こども,Anak-anak
この,この,Ini
御飯,ごはん,Makan
コピーする,コピーする,Menyalin
困る,こまる,Sulit
これ,これ,Ini
今月,こんげつ,Bulan ini
今週,こんしゅう,Minggu ini
こんな,こんな,Seperti ini
今晩,こんばん,Malam ini
さあ,さあ,Baiklah
財布,さいふ,Dompet
魚,さかな,Ikan
先,さき,Pertama
咲く,さく,Meletus
作文,さくぶん,Menulis esai
差す,さす,Memberikan
雑誌,ざっし,Majalah
砂糖,さとう,Gula
