Kanji,Reading,Indonesian
あいかわらず,あいかわらず,Seperti biasa
アイデア,アイデア,Ide
アイデア,アイ,Ide
アイ,アイデア,I
アイ,アイ,I
ディア,ディア,Hai
あいまい,あいまい,Tidak jelas
遭う,あう,Menghadapi
扇ぐ,あおぐ,Mengayunkan kipas
青白い,あおじろい,Pucat
あかんぼう,あかんぼう,Anak-anak
明き,あき,Besok
あきれる,あきれる,Kaget
アクセント,アクセント,Aksen
あくび,あくび,Menguap
飽くまで,あくまで,Selama
明け方,あけがた,Saat fajar
揚げる,あげる,Memanggang
挙げる,あげる,Menyebutkan
憧れる,あこがれる,Menginginkan
足跡,あしあと,Jejak kaki
味わう,あじわう,Menikmati
預かる,あずかる,Menyimpan
暖まる,あたたまる,Hangat
暖める,あたためる,Memanaskan
あたりまえ,あたりまえ,Hal yang jelas
あひら,あひら,Ikan todak
あちらこちら,あちらこちら,Di sana-sini
厚かましい,あつかましい,"Tidak sopan, sombong"
圧縮,あっしゅく,Kompresi
宛名,あてな,Alamat penerima
あてはまる,あてはまる,Relevan
あてはめる,あてはめる,Memasang
暴れる,あばれる,Berjuang
脂,あぶら,Lemak
あぶる,あぶる,Memasak
あふれる,あふれる,Melimpah
雨戸,あまど,Pintu geser
甘やかす,あまやかす,Memanjakan
余る,あまる,Sisa
編物,あみもの,Merajut
編む,あむ,Menjahit
危うい,あやうい,Berbahaya
怪しい,あやしい,Meragukan
荒い,あらい,kasar
粗い,あらい,kasar
あらすじ,あらすじ,Sinopsis
争う,あらそう,Berperang
改めて,あらためて,Sekali lagi
改める,あらためる,Mengubah
著す,あらわす,Menulis
有難い,ありがたい,Sungguh berharga
在る,ある,Ada
あれこれ,あれこれ,Berbagai macam
あわただしい,あわただしい,Tergesa-gesa
あわてる,あわてる,Panik
安易,あんい,Mudah
案外,あんがい,Aneh
アンテナ,アンテナ,Antena
言い出す,いいだす,Membuka percakapan
言い付ける,いいつける,Memaksa
意義,いぎ,Makna
生き生き,いきいき,Hidup
いきなり,いきなり,Secara tiba-tiba
育児,いくじ,Pengasuhan anak
幾分,いくぶん,Sedikit
生け花,いけばな,Bunga segar
以後,いご,Selanjutnya
以降,いこう,Selanjutnya
イコール,イコール,Sama
勇ましい,いさましい,Berani
衣食住,いしょくじゅう,"Makanan, pakaian, tempat tinggal"
意地悪,いじわる,Nakal
いちいち,いちいち,satu per satu
一応,いちおう,Sebagai upaya
一段と,いちだんと,Semakin
一流,いちりゅう,Terkenal
佚,いつ,Tidak ada teks.
一昨日,いっさくじつ,Kemarin
一昨年,いっさくねん,Tahun lalu
一斉,いっせい,Serentak
一旦,いったん,Begitu
一定,いってい,Tentu
いっていらっし,いっていらっし,Tidak perlu dikatakan
ゃい,ゃい,ya
いってらっしゃ,いってらっしゃ,Selamat jalan
い,い,Ya
いってまいりま,いってまいりま,"Salam, apa kabar?"
す,す,Ya
いつのまにか,いつのまにか,Entah bagaimana
移転,いてん,Pemindahan
井戸,いど,Sumur
緯度,いど,Lintang
従姉妹,いとこ,Tante
威張る,いばる,Berpura-pura kuat
嫌がる,いやがる,Tidak suka
いよいよ,いよいよ,Akhirnya
煎る,いる,Memasak
炒る,いる,Memasak
入れ物,いれもの,Wadah
インキ,インキ,Tinta
インタビュー,インタビュー,Wawancara
引力,いんりょく,Gravitasi
ウーマン,ウーマン,Wanita
ウール,ウール,Wol
ウエートレス,ウエートレス,Pelayan
植木,うえき,Tanaman
飢える,うえる,Kelaparan
浮ぶ,うかぶ,Mengambang
浮かべる,うかべる,Mengambang
浮く,うく,Mengambang
承る,うけたまわる,Menerima
受取,うけとり,Menerima
受け持つ,うけもつ,Menerima
薄暗い,うすぐらい,Remang-remang
薄める,うすめる,Menyamarkan
打合せ,うちあわせ,Perjanjian
打ち消す,うちけす,Membatalkan
討つ,うつ,Dikalahkan
うっかり,うっかり,Secara tidak sengaja
映す,うつす,Menampilkan
写る,うつる,Menulis
映る,うつる,Muncul
うどん,うどん,Udon
有無,うむ,Ada atau tidak
埋める,うめる,Mengisi
敬う,うやまう,Menghormati
裏返す,うらがえす,Membalikkan
裏口,うらぐち,Pintu belakang
占う,うらなう,Mengikuti
恨み,うらみ,Kebencian
恨む,うらむ,Membenci
羨ましい,うらやましい,Berminat
羨む,うらやむ,Mengagumi
売上,うりあげ,Penjualan
