Kanji,Reading,Indonesian
あっ,あっ,Ah
愛,あい,Cinta
挨拶,あいさつ,Salam
愛情,あいじょう,Cinta
合図,あいず,Sinyal
アイスクリーム,アイスクリーム,Es krim
愛する,あいする,Mencintai
相手,あいて,Orang lain
あいにく,あいにく,Sayangnya
アイロン,アイロン,Setrika
アウト,アウト,Tidak
明かり,あかり,Cahaya
空き,あき,Kosong
明らか,あきらか,Jelas
諦める,あきらめる,Menerima
飽きる,あきる,Bosan
握手,あくしゅ,Berjabat tangan
悪魔,あくま,Iblis
明ける,あける,Terang
あした,あした,Besok
預ける,あずける,Menyerahkan
汗,あせ,Keringat
与える,あたえる,Memberi
辺り,あたり,Sekitar
当たる,あたる,Menang
あちこち,あちこち,Di mana-mana
扱う,あつかう,Menangani
集まり,あつまり,Pertemuan
当てる,あてる,Menerapkan
跡,あと,Sisa
あと,あと,Selanjutnya
穴,あな,Lubang
浴びる,あびる,Mandi
油,あぶら,Minyak
余り,あまり,Sisa
誤り,あやまり,Kesalahan
粗,あら,Kasar
嵐,あらし,Badai
新た,あらた,Baru
あらゆる,あらゆる,Semua
表す,あらわす,Menunjukkan
現す,あらわす,Menampilkan
現れ,あらわれ,Muncul
現れる,あらわれる,Muncul
ありがとう,ありがとう,Terima kasih
有る,ある,Ada
或,ある,Atau
あるいは,あるいは,Atau
アルバム,アルバム,Album
泡,あわ,Busa
合わせる,あわせる,Cocokkan
哀れ,あわれ,Menyesal
案,あん,Usulan
暗記,あんき,Menghafal
安定,あんてい,Stabilitas
案内,あんない,Petunjuk
あんなに,あんなに,Begitu banyak
あんまり,あんまり,Tidak terlalu
胃,い,Lambung
いい,いい,Baik
よい,よい,Baik
いえ,いえ,Tidak
委員,いいん,Anggota
言う,ゆう,Mengatakan
意外,いがい,Tak terduga
行き,いき,Pergi
行き,ゆき,Pergi
息,いき,Napas
勢い,いきおい,Momentum
生き物,いきもの,Makhluk hidup
幾つ,いくつ,Berapa usia
幾ら,いくら,Berapa
いけない,いけない,Tidak boleh
医師,いし,Dokter
意思,いし,Niat
意志,いし,Niat
維持,いじ,Mempertahankan
意識,いしき,Kesadaran
異常,いじょう,Anomali
椅子,いす,Kursi
泉,いずみ,Sumber air
いずれ,いずれ,Baiklah
以前,いぜん,Sebelumnya
板,いた,Papan
偉大,いだい,Hebat
抱く,いだく,Memeluk
いたずら,いたずら,Bermain-main
いただきます,いただきます,Terima kasih
頂く,いただく,Menerima
痛み,いたみ,Nyeri
至る,いたる,Di mana-mana
いち,いち,Satu
位置,いち,Posisi
一時,いちじ,Sementara
一度に,いちどに,Sekaligus
市場,いちば,Pasar
一番,いちばん,Terbaik
いつか,いつか,Suatu hari
一家,いっか,Keluarga
一種,いっしゅ,Satu jenis
一瞬,いっしゅん,Sejenak
一生,いっしょう,Sepanjang hidup
一層,いっそう,Lebih lanjut
一体,いったい,Bersatu
一致,いっち,Kesepakatan
いつでも,いつでも,Kapan saja
一般,いっぱん,Umum
一方,いっぽう,Sebaliknya
いつまでも,いつまでも,Selamanya
いつも,いつも,Selalu
移動,いどう,Bergerak
従兄弟,いとこ,Sepupu jauh
稲,いね,Padi
居眠り,いねむり,Tidur
命,いのち,Kehidupan
違反,いはん,Pelanggaran
衣服,いふく,Pakaian
居間,いま,Ruang tamu
今に,いまに,Sekarang
今にも,いまにも,Sekarang juga
否,いや,Tidak
以来,いらい,Sejak
