Kanji,Reading,English
嗚呼,ああ,Alas
相,あい,relative
相変わらず,あいかわらず,as usual
愛想,あいそ,"affection, fondness, amiable"
相対,あいたい,relative
間柄,あいだがら,relationship
愛憎,あいにく,love and hate
合間,あいま,intervals
曖昧,あいまい,vague
敢えて,あえて,deliberately; intentionally; boldly; daringly
仰ぐ,あおぐ,to gaze at; to look up at
垢,あか,"skin, dirt, grime, filth, appearance"
亜科,あか,Subfamily
銅,あかがね,copper
証,あかし,evidence
赤字,あかじ,red ink
明かす,あかす,"to reveal, to clarify, to explain"
赤ちゃん,あかちゃん,baby
明白,あからさま,clear
赤らむ,あからむ,to blush
明るい,あかるい,bright
上がり,あがり,"up, rise, ascend"
上がる,あがる,"rise, go up, increase"
商人,あきうど,merchant
空間,あきま,space
諦め,あきらめ,giving up
呆れる,あきれる,to be astonished; to be dumbfounded; to be amazed
悪,あく,evil
灰,あく,ash
あくどい,あくどい,crude
悪日,あくび,bad weather
明くる,あくる,tomorrow
憧れ,あこがれ,"ideal, aspiration, admiration"
顎,あご,jaw
麻,あさ,hemp
明後日,あさって,the day after tomorrow
朝寝坊,あさねぼう,sleeping in
浅ましい,あさましい,shallow
字,あざ,character
欺く,あざむく,to deceive
鮮やか,あざやか,vivid
あざ笑う,あざわらう,"to mock, to ridicule, to sneer at"
味わい,あじわい,"flavor, taste, savor"
東,あずま,East
焦る,あせる,to rush; to be in a hurry; to be impatient
彼処,あそこ,there
値,あたい,value
値する,あたいする,valuable
私,あたし,I
当たり,あたり,"hit, strike, target"
当たり前,あたりまえ,taken for granted
他人,あだびと,other people
彼方此方,あちこち,"Here and there, this and that"
彼方,あちら,the other side
彼方此方,あちらこちら,"Here and there, this and that"
悪化,あっか,deterioration
呆気ない,あっけない,unremarkable
悪口,あっこう,gossip
あっさり,あっさり,"light, delicate, simple"
圧迫,あっぱく,pressure
扱い,あつかい,handling
集まる,あつまる,to gather
誂える,あつらえる,order
圧力,あつりょく,pressure
当て,あて,"hit, strike, aim, target, effect"
宛,あて,Recipient
当て字,あてじ,stroke order
当てはまる,あてはまる,fits
当てはめる,あてはめる,"to apply, to fit, to appropriate"
宛てる,あてる,to send to
跡継ぎ,あとつぎ,successor
後回し,あとまわし,"postponing, deferring, delaying"
貴女,あなた,you
彼の,あの,his
溢れる,あふれる,overflowing
