Kanji,Reading,English
あ,あ,a
ああ,ああ,Ah
あいさつ,あいさつ,greeting
間,あいだ,"space, interval, gap, between"
合う,あう,"fits, suits, matches"
あかちゃん,あかちゃん,baby
上る,あがる,"to go up, to ascend, to rise"
赤ん坊,あかんぼう,baby
空く,あく,empty space
アクセサリー,アクセサリー,accessories
あげる,あげる,to give
浅い,あさい,shallow
味,あじ,taste
アジア,アジア,Asia
明日,あす,Tomorrow
遊び,あそび,play
集る,あつまる,to gather
集める,あつめる,to collect
アナウンサー,アナウンサー,announcer
アフリカ,アフリカ,Africa
アメリカ,アメリカ,United States of America
謝る,あやまる,to apologize
アルコール,アルコール,alcohol
アルバイト,アルバイト,part-time job
安心,あんしん,peace of mind
安全,あんぜん,safety
あんな,あんな,such a
案内,あんない,guidance
以下,いか,Below
以外,いがい,other than
医学,いがく,medicine
生きる,いきる,to live
意見,いけん,Opinion
石,いし,stone
いじめる,いじめる,to bully
以上,いじょう,"above, over, more than, greater than, in addition"
急ぐ,いそぐ,to hurry
致す,いたす,to send
いただく,いただく,to receive
一度,いちど,once
一生懸命,いっしょうけんめい,with all one's might
いっぱい,いっぱい,full
糸,いと,thread
以内,いない,within
田舎,いなか,rural area
祈る,いのる,to pray
いらっしゃる,いらっしゃる,"to come, to arrive, to be present"
植える,うえる,to plant
うかがう,うかがう,"to surmise, to guess, to infer, to get the impression"
受付,うけつけ,reception desk
受ける,うける,to receive
動く,うごく,moving
うそ,うそ,lie
うち,うち,my
打つ,うつ,"to hit, to strike, to defeat"
美しい,うつくしい,beautiful
写す,うつす,"to write, to draw, to depict, to portray, to record"
移る,うつる,to move
腕,うで,arm
うまい,うまい,"good, delicious, excellent"
裏,うら,back; rear; behind; inside
売り場,うりば,sales area
うれしい,うれしい,happy
うん,うん,Yeah
運転,うんてん,driving
運転手,うんてんしゅ,driver
運動,うんどう,exercise
エスカレーター,エスカレーター,escalator
枝,えだ,branch
選ぶ,えらぶ,to choose
遠慮,えんりょ,"reserve, restraint, modesty, deference"
おいでになる,おいでになる,come
お祝い,おいわい,celebration
オートバイ,オートバイ,motorcycle
おかげ,おかげ,thanks to
おかしい,おかしい,strange
億,おく,hundred million
屋上,おくじょう,rooftop
贈り物,おくりもの,gift
送る,おくる,to send
遅れる,おくれる,late
起す,おこす,to get up
行う,おこなう,to do
怒る,おこる,to get angry
押し入れ,おしいれ,cupboard
お嬢さん,おじょうさん,young lady
お宅,おたく,Your house
落る,おちる,falling
おっしゃる,おっしゃる,say
夫,おっと,husband
おつり,おつり,weekend
音,おと,sound
落す,おとす,"to drop, to let fall, to spill"
踊り,おどり,dance
踊る,おどる,to dance
驚く,おどろく,astonishing
お祭り,おまつり,festival
お見舞い,おみまい,visiting the sick
お土産,おみやげ,souvenir
思い出す,おもいだす,to remember
思う,おもう,to think
おもちゃ,おもちゃ,toy
表,おもて,surface
親,おや,parent
下りる,おりる,to descend
折る,おる,"to bend, to break, to fold"
お礼,おれい,thank you
折れる,おれる,"breaks, breaks down, snaps"
終わり,おわり,end
カーテン,カーテン,curtain
海岸,かいがん,coast
会議,かいぎ,meeting
会議室,かいぎしつ,Meeting room
会場,かいじょう,venue
会話,かいわ,conversation
帰り,かえり,returning
変える,かえる,change
科学,かがく,science
鏡,かがみ,mirror
掛ける,かける,"to hang up, to put on (a phone), to hang"
飾る,かざる,to decorate
火事,かじ,fire
ガス,ガス,gas
ガソリン,ガソリン,gasoline
ガソリンスタンド,ガソリンスタンド,gas station
堅,かたい,"rigid, firm, solid, tough, unyielding, inflexible, strong"
硬,かたい,hard
固い,かたい,hard
形,かたち,"shape, form, appearance, state"
片付ける,かたづける,"to tidy up, to clean up, to put away"
課長,かちょう,Chief
勝つ,かつ,to win
かっこう,かっこう,character
家内,かない,family
悲しい,かなしい,sad
必ず,かならず,definitely
お・金持ち,かねもち,rich
お・金持ち,おかねもち,rich
彼女,かのじょ,her
壁,かべ,wall
かまう,かまう,to surround; to harass; to interfere
髪,かみ,hair
噛む,かむ,to bite
通う,かよう,to attend
ガラス,ガラス,glass
彼,かれ,him
彼ら,かれら,them
乾く,かわく,drying
代わり,かわり,alternative
変わる,かわる,change
